"filename", "language", "JavaScript", "JSON", "TypeScript", "TypeScript JSX", "JSON with Comments", "CSS", "Markdown", "comment", "blank", "total"
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/.eslintrc.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 25, 0, 15, 40
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/app/(auth)/(signin)/page.tsx", "TypeScript JSX", 0, 0, 0, 119, 0, 0, 0, 0, 4, 123
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/app/(dashboard)/dashboard/computers/[computerId]/loading.tsx", "TypeScript JSX", 0, 0, 0, 40, 0, 0, 0, 0, 4, 44
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/app/(dashboard)/dashboard/computers/[computerId]/page.tsx", "TypeScript JSX", 0, 0, 0, 19, 0, 0, 0, 0, 3, 22
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/app/(dashboard)/dashboard/computers/loading.tsx", "TypeScript JSX", 0, 0, 0, 49, 0, 0, 0, 0, 5, 54
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/app/(dashboard)/dashboard/computers/page.tsx", "TypeScript JSX", 0, 0, 0, 41, 0, 0, 0, 0, 9, 50
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/app/(dashboard)/dashboard/layout.tsx", "TypeScript JSX", 0, 0, 0, 22, 0, 0, 0, 0, 4, 26
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/app/(dashboard)/dashboard/loading.tsx", "TypeScript JSX", 0, 0, 0, 42, 0, 0, 0, 0, 4, 46
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/app/(dashboard)/dashboard/page.tsx", "TypeScript JSX", 0, 0, 0, 114, 0, 0, 0, 1, 7, 122
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/app/(dashboard)/dashboard/profile/page.tsx", "TypeScript JSX", 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/app/(dashboard)/dashboard/reports/[reportId]/loading.tsx", "TypeScript JSX", 0, 0, 0, 40, 0, 0, 0, 0, 4, 44
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/app/(dashboard)/dashboard/reports/[reportId]/page.tsx", "TypeScript JSX", 0, 0, 0, 26, 0, 0, 0, 1, 4, 31
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/app/(dashboard)/dashboard/reports/loading.tsx", "TypeScript JSX", 0, 0, 0, 49, 0, 0, 0, 0, 5, 54
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/app/(dashboard)/dashboard/reports/page.tsx", "TypeScript JSX", 0, 0, 0, 38, 0, 0, 0, 0, 11, 49
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/app/(dashboard)/dashboard/sessions/page.tsx", "TypeScript JSX", 0, 0, 0, 33, 0, 0, 0, 0, 8, 41
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/app/(dashboard)/dashboard/user/[userId]/page.tsx", "TypeScript JSX", 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/app/(dashboard)/dashboard/user/loading.tsx", "TypeScript JSX", 0, 0, 0, 49, 0, 0, 0, 0, 5, 54
